Date	Time Start	Time End	Duration	Project ID	Project Name	Task ID	Task Nickname	Instigator	Instigation Method	Originator	Origination Method	Tags	Description/Notes
9/29/2021	7:22	9:30	2:08	URN70Q	PRVoxels	70K4	Backboarding problem	Self	Self	Douglas Morton	Self	"Python, Tool Development, Manuscript"	"Adapted Python code for CAD 373 task to provide additional voxels if the assumption is that all voxels were observed if they are not represented by a point (the ""backboarding"" problem)."
9/29/2021	9:41	9:44	0:03	8OF43M	Email	3277	NASA Email	Self	Self	Position	Self	"Email, Communication"	Cleared Email inbox. 1 position-relevant reply.
9/29/2021	9:45	9:48	0:03	8OF43M	Email	Z7OY	USRA Email	Self	Self	Position	Self	"Email, Communication"	Cleared Email inbox. 1 position-relevant reply.
9/29/2021	9:49	10:11	0:22	J15E73	Black Marble	7B10	Time-series anomalies	Self	Self	Srija Chakraborty	General Request	"Tools, Data Delivery, Collaboratory"	Srija asked in the Black Marble Slack if we had any way of selecting 100 cities representing the range of expected night lights conditions for the global covid study. I had been working on metrics to describe the structure of the time series of VNP46A series data as part of the time-series anomaly detection. I spent this time psuedo-coding and pulling in generalized tools for a GUI in Collaboratory
9/29/2021	10:14	12:35	2:21	URN70Q	PRVoxels	IBS7	Ground Adjust	Self	Self	Douglas Morton	CAD	"Python, Tool Development, Manuscript"	"As part of the combined effort to provide a codebase and processing framework for 2019/2020 TLS data from Puerto Rico the voxel grid needed a support file providing per-stack adjustments to normalize height across the plot. This script smoothes and interpolates the ground, then derives and saves the adjustments in json format."
9/29/2021	12:36	12:42	0:06	URN70Q	PRVoxels	G2UN	Processing Diagrams	Self	Self	Douglas Morton	CAD	"Manuscript, Documentation"	Updated processing diagrams for CAD 373 voxel task.
9/29/2021	13:01	13:28	0:27	URN70Q	PRVoxels	6PFX	Collaborator Interaction	Collaborator	Text Message	Douglas Morton	CAD	"Communication, Manuscript"	Spoke with collaborator for CAD 373 voxel task regarding processing changes/solutions.
9/29/2021	13:50	14:30	0:40	URN70Q	PRVoxels	IBS7	Ground Adjust	Self	Self	Douglas Morton	CAD	"Python, Tool Development, Manuscript"	"As part of the combined effort to provide a codebase and processing framework for 2019/2020 TLS data from Puerto Rico the voxel grid needed a support file providing per-stack adjustments to normalize height across the plot. This script smoothes and interpolates the ground, then derives and saves the adjustments in json format."
9/29/2021	14:30	15:56	1:26	A2LTP3	USRA Admin	9881	All-Hands Meeting	USRA	USRA Email	USRA	Routine	"Meeting, Administration"	Attended GESTAR All-hands meeting
9/29/2021	15:57	16:35	0:38	2FQ99W	PRVoxels	IBS7	Ground Adjust	Self	Self	Douglas Morton	CAD	"Python, Tool Development, Manuscript"	"As part of the combined effort to provide a codebase and processing framework for 2019/2020 TLS data from Puerto Rico the voxel grid needed a support file providing per-stack adjustments to normalize height across the plot. This script smoothes and interpolates the ground, then derives and saves the adjustments in json format."
9/29/2021	18:12	18:25	0:13	URN70Q	PRVoxels	3ZXX	Observation Reprocessing	Self	Queue Pop	Douglas Morton	CAD	"Python, Data Processing, Manuscript"	 Set up next iteration of ongoing observation processing (voxel observations).
9/29/2021	18:26	18:40	0:14	URN70Q	PRVoxels	57GS	PRVoxel Manuscript	Self	New Information	Douglas Morton	CAD	Manuscript	Updated CAD 373 voxel data manuscript outline.
9/29/2021	19:03	19:44	0:41	L58C9X	BMComms	2W91	Communication and Advice	Janet Hines	Personal Email	Miguel Roman	Referral	"Communication, Advice"	Answered Janet's request for information about management software solutions/tools
9/29/2021	19:45	19:48	0:03	L58C9X	BMComms	48CS	Optional Meeting	Miguel Roman	Slack	Miguel Roman	Referral	"Networking, Outreach, Meeting"	Registered for Open Source Science for Data Processing and Archives Workshop at Miguel's behest.
